,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,roald,100.0,NO,1660448104.0,94.0,62.5833,6.1333,61.16,8.05
1,palasa,100.0,IN,1660448105.0,92.0,18.7667,84.4167,77.72,13.47
2,saldanha,28.0,ZA,1660448081.0,70.0,-33.0117,17.9442,50.05,18.77
3,hobart,75.0,AU,1660447919.0,88.0,-42.8794,147.3294,58.86,12.66
4,kodiak,100.0,US,1660448005.0,88.0,57.79,-152.4072,54.91,8.05
5,hilo,75.0,US,1660448043.0,77.0,19.7297,-155.09,83.28,6.91
6,cabo san lucas,35.0,MX,1660447915.0,77.0,22.8909,-109.9124,86.5,4.38
7,cape town,100.0,ZA,1660447855.0,87.0,-33.9258,18.4232,53.11,1.99
8,ilulissat,96.0,GL,1660448067.0,49.0,69.2167,-51.1,48.22,4.61
9,lasa,2.0,IT,1660448106.0,73.0,46.6166,10.7002,58.08,2.8
10,chuy,6.0,UY,1660448002.0,92.0,-33.6971,-53.4616,53.53,5.84
11,walvis bay,13.0,NA,1660448106.0,81.0,-22.9575,14.5053,50.09,4.61
12,eyl,48.0,SO,1660448107.0,61.0,7.9803,49.8164,78.57,24.11
13,port lincoln,88.0,AU,1660447818.0,69.0,-34.7333,135.8667,58.15,12.68
14,severo-kurilsk,100.0,RU,1660448030.0,96.0,50.6789,156.125,55.31,15.3
15,dikson,100.0,RU,1660447988.0,100.0,73.5069,80.5464,44.62,6.13
16,raga,100.0,SS,1660448107.0,98.0,8.4596,25.678,68.76,4.76
17,comodoro rivadavia,0.0,AR,1660448007.0,53.0,-45.8667,-67.5,46.26,27.63
18,mataura,4.0,NZ,1660448068.0,63.0,-46.1927,168.8643,50.49,5.59
19,hauterive,91.0,FR,1660448108.0,76.0,46.0901,3.4459,74.16,8.25
20,barrow,100.0,US,1660447999.0,80.0,71.2906,-156.7887,35.62,3.44
21,lerwick,18.0,GB,1660447792.0,94.0,60.1545,-1.1494,57.2,5.86
22,tasiilaq,4.0,GL,1660447985.0,67.0,65.6145,-37.6368,41.16,7.05
23,abu samrah,0.0,SY,1660447999.0,72.0,35.3029,37.1841,73.33,15.48
25,rikitea,82.0,PF,1660447979.0,79.0,-23.1203,-134.9692,73.13,21.3
26,qobustan,0.0,AZ,1660448109.0,39.0,40.0824,49.412,84.63,2.33
27,hithadhoo,72.0,MV,1660447993.0,70.0,-0.6,73.0833,82.6,3.91
28,neuquen,0.0,AR,1660448109.0,62.0,-38.9516,-68.0591,51.69,0.0
29,hermanus,80.0,ZA,1660448029.0,78.0,-34.4187,19.2345,50.81,17.05
30,jambi,99.0,ID,1660448110.0,66.0,-1.6,103.6167,86.68,4.0
31,tubuala,100.0,PA,1660448110.0,85.0,9.5167,-79.0333,78.64,3.91
32,vaini,75.0,TO,1660448012.0,78.0,-21.2,-175.2,75.36,13.8
33,jamestown,99.0,US,1660447832.0,80.0,42.097,-79.2353,60.51,1.25
37,butaritari,68.0,KI,1660448030.0,77.0,3.0707,172.7902,81.39,16.11
38,punta arenas,40.0,CL,1660447987.0,93.0,-53.15,-70.9167,33.91,6.91
39,tiksi,98.0,RU,1660448111.0,83.0,71.6872,128.8694,43.02,14.74
40,ambon,40.0,ID,1660448112.0,70.0,-3.6954,128.1814,84.34,5.75
41,provost,3.0,CA,1660448112.0,67.0,52.3501,-110.2683,75.65,9.4
42,clyde river,75.0,CA,1660448112.0,100.0,70.4692,-68.5914,41.23,2.3
43,antofagasta,74.0,CL,1660447944.0,82.0,-23.65,-70.4,56.48,0.98
44,atuona,0.0,PF,1660448021.0,69.0,-9.8,-139.0333,77.36,20.83
45,pilot butte,20.0,CA,1660448113.0,68.0,50.4668,-104.4178,77.67,14.97
46,salalah,100.0,OM,1660447983.0,100.0,17.0151,54.0924,73.49,10.36
48,porto novo,100.0,BJ,1660448113.0,91.0,6.4965,2.6036,76.82,12.44
49,albany,32.0,US,1660447802.0,75.0,42.6001,-73.9662,63.52,3.6
50,port hedland,39.0,AU,1660448119.0,27.0,-20.3167,118.5667,87.85,8.05
51,kapaa,0.0,US,1660447989.0,75.0,22.0752,-159.319,82.38,11.5
52,busselton,15.0,AU,1660447987.0,58.0,-33.65,115.3333,60.04,9.6
54,thompson,0.0,CA,1660447986.0,76.0,55.7435,-97.8558,53.76,0.0
55,bocanda,99.0,CI,1660448120.0,99.0,7.0626,-4.4995,70.93,3.06
56,bluff,68.0,NZ,1660447982.0,77.0,-46.6,168.3333,50.81,23.91
57,hervey bay,0.0,AU,1660448120.0,52.0,-25.2986,152.8535,66.25,7.07
58,namibe,48.0,AO,1660447986.0,89.0,-15.1961,12.1522,62.82,1.12
59,puerto ayora,100.0,EC,1660447945.0,96.0,-0.7393,-90.3518,68.56,4.0
60,kobryn,75.0,BY,1660448121.0,92.0,52.2138,24.3564,62.74,7.43
61,amapa,45.0,BR,1660448020.0,93.0,1.0,-52.0,69.96,2.48
62,vondrozo,71.0,MG,1660448121.0,97.0,-22.8167,47.2833,57.4,0.54
63,labrea,44.0,BR,1660448121.0,62.0,-7.2586,-64.7981,77.67,1.57
64,kandrian,43.0,PG,1660448122.0,70.0,-6.2167,149.55,83.7,5.66
66,atar,0.0,MR,1660448122.0,50.0,20.5169,-13.0499,88.09,7.27
67,polewali,74.0,ID,1660448123.0,66.0,-3.4324,119.3435,87.03,5.26
69,longyearbyen,75.0,SJ,1660448019.0,87.0,78.2186,15.6401,42.64,10.36
70,pisco,40.0,PE,1660448096.0,88.0,-13.7,-76.2167,58.01,2.3
71,hirara,20.0,JP,1660448123.0,70.0,24.8,125.2833,91.26,12.66
72,labis,71.0,MY,1660448124.0,59.0,2.385,103.021,89.74,2.44
73,saint george,0.0,US,1660447861.0,42.0,37.1041,-113.5841,88.63,10.36
74,khatanga,0.0,RU,1660448031.0,40.0,71.9667,102.5,62.37,10.96
75,souillac,20.0,MU,1660448124.0,73.0,-20.5167,57.5167,68.38,18.41
76,kilindoni,26.0,TZ,1660448125.0,75.0,-7.9139,39.6668,75.33,11.5
77,fort atkinson,2.0,US,1660448125.0,88.0,42.9289,-88.8371,70.32,7.11
78,saskylakh,39.0,RU,1660448051.0,41.0,71.9167,114.0833,55.98,7.54
79,alice springs,0.0,AU,1660448125.0,19.0,-23.7,133.8833,69.35,4.61
80,russell,0.0,US,1660448126.0,94.0,32.3502,-85.1999,74.43,0.0
81,victoria,14.0,HK,1660448026.0,73.0,22.2855,114.1577,91.96,5.99
82,bengkulu,86.0,ID,1660447992.0,67.0,-3.8004,102.2655,84.06,4.74
83,moranbah,0.0,AU,1660448126.0,21.0,-22.0016,148.0466,74.43,7.54
84,ushuaia,75.0,AR,1660447895.0,93.0,-54.8,-68.3,37.06,14.97
85,lebu,100.0,CL,1660448090.0,82.0,-37.6167,-73.65,48.52,6.53
86,qaanaaq,100.0,GL,1660448009.0,68.0,77.484,-69.3632,43.99,8.21
87,palimbang,62.0,PH,1660448127.0,73.0,6.2106,124.1894,84.2,6.17
88,east london,0.0,ZA,1660448047.0,66.0,-33.0153,27.9116,54.54,9.22
